sample	lane	fq1	fq2
WT-00h-rep1	lane1	/hpcnfs/techunits/genomics/PublicData/Pasini/kferrari/FASTQ/200529_A00302_0159_AHLCMJDRXX/Sample_S28669_E14_Martello_2iLIF_rep1/S28669_E14_Martello_2iLIF_rep1_S47_L002_R1_001.fastq.gz	/hpcnfs/techunits/genomics/PublicData/Pasini/kferrari/FASTQ/200529_A00302_0159_AHLCMJDRXX/Sample_S28669_E14_Martello_2iLIF_rep1/S28669_E14_Martello_2iLIF_rep1_S47_L002_R2_001.fastq.gz
WT-00h-rep1	lane2_reseq	/hpcnfs/techunits/genomics/PublicData/Pasini/kferrari/FASTQ/210603_A00302_0305_AH3CFJDRXY/Sample_S34633_E14_Martello_2iLIF_rep1/S34633_E14_Martello_2iLIF_rep1_S50_L001_R1_001.fastq.gz	/hpcnfs/techunits/genomics/PublicData/Pasini/kferrari/FASTQ/210603_A00302_0305_AH3CFJDRXY/Sample_S34633_E14_Martello_2iLIF_rep1/S34633_E14_Martello_2iLIF_rep1_S50_L001_R2_001.fastq.gz
WT-00h-rep2	lane1	/hpcnfs/techunits/genomics/PublicData/Pasini/kferrari/FASTQ/200529_A00302_0159_AHLCMJDRXX/Sample_S28678_E14_Martello_2iLIF_rep2/S28678_E14_Martello_2iLIF_rep2_S56_L002_R1_001.fastq.gz	/hpcnfs/techunits/genomics/PublicData/Pasini/kferrari/FASTQ/200529_A00302_0159_AHLCMJDRXX/Sample_S28678_E14_Martello_2iLIF_rep2/S28678_E14_Martello_2iLIF_rep2_S56_L002_R2_001.fastq.gz
WT-00h-rep2	lane2_reseq	/hpcnfs/techunits/genomics/PublicData/Pasini/kferrari/FASTQ/210603_A00302_0305_AH3CFJDRXY/Sample_S34639_E14_Martello_2iLIF_rep2/S34639_E14_Martello_2iLIF_rep2_S56_L001_R1_001.fastq.gz	/hpcnfs/techunits/genomics/PublicData/Pasini/kferrari/FASTQ/210603_A00302_0305_AH3CFJDRXY/Sample_S34639_E14_Martello_2iLIF_rep2/S34639_E14_Martello_2iLIF_rep2_S56_L001_R2_001.fastq.gz
WT-00h-rep3	lane1	/hpcnfs/techunits/genomics/PublicData/Pasini/kferrari/FASTQ/200529_A00302_0159_AHLCMJDRXX/Sample_S28687_E14_Martello_2iLIF_rep3/S28687_E14_Martello_2iLIF_rep3_S65_L002_R1_001.fastq.gz	/hpcnfs/techunits/genomics/PublicData/Pasini/kferrari/FASTQ/200529_A00302_0159_AHLCMJDRXX/Sample_S28687_E14_Martello_2iLIF_rep3/S28687_E14_Martello_2iLIF_rep3_S65_L002_R2_001.fastq.gz
WT-00h-rep3	lane2_reseq	/hpcnfs/techunits/genomics/PublicData/Pasini/kferrari/FASTQ/210603_A00302_0305_AH3CFJDRXY/Sample_S34646_E14_Martello_2iLIF_rep3/S34646_E14_Martello_2iLIF_rep3_S63_L001_R1_001.fastq.gz	/hpcnfs/techunits/genomics/PublicData/Pasini/kferrari/FASTQ/210603_A00302_0305_AH3CFJDRXY/Sample_S34646_E14_Martello_2iLIF_rep3/S34646_E14_Martello_2iLIF_rep3_S63_L001_R2_001.fastq.gz
Pcgf1KO-00h-rep1	lane1	/hpcnfs/techunits/genomics/PublicData/Pasini/kferrari/FASTQ/200529_A00302_0159_AHLCMJDRXX/Sample_S28672_PCGF1KO_Martello_2iLIF_rep1/S28672_PCGF1KO_Martello_2iLIF_rep1_S50_L002_R1_001.fastq.gz	/hpcnfs/techunits/genomics/PublicData/Pasini/kferrari/FASTQ/200529_A00302_0159_AHLCMJDRXX/Sample_S28672_PCGF1KO_Martello_2iLIF_rep1/S28672_PCGF1KO_Martello_2iLIF_rep1_S50_L002_R2_001.fastq.gz
Pcgf1KO-00h-rep1	lane2_reseq	/hpcnfs/techunits/genomics/PublicData/Pasini/kferrari/FASTQ/210603_A00302_0305_AH3CFJDRXY/Sample_S34636_PCGF1KO_Martello_2iLIF_rep1/S34636_PCGF1KO_Martello_2iLIF_rep1_S53_L001_R1_001.fastq.gz	/hpcnfs/techunits/genomics/PublicData/Pasini/kferrari/FASTQ/210603_A00302_0305_AH3CFJDRXY/Sample_S34636_PCGF1KO_Martello_2iLIF_rep1/S34636_PCGF1KO_Martello_2iLIF_rep1_S53_L001_R2_001.fastq.gz
Pcgf1KO-00h-rep2	lane1	/hpcnfs/techunits/genomics/PublicData/Pasini/kferrari/FASTQ/200529_A00302_0159_AHLCMJDRXX/Sample_S28681_PCGF1KO_Martello_2iLIF_rep2/S28681_PCGF1KO_Martello_2iLIF_rep2_S59_L002_R1_001.fastq.gz	/hpcnfs/techunits/genomics/PublicData/Pasini/kferrari/FASTQ/200529_A00302_0159_AHLCMJDRXX/Sample_S28681_PCGF1KO_Martello_2iLIF_rep2/S28681_PCGF1KO_Martello_2iLIF_rep2_S59_L002_R2_001.fastq.gz
Pcgf1KO-00h-rep2	lane2_reseq	/hpcnfs/techunits/genomics/PublicData/Pasini/kferrari/FASTQ/210603_A00302_0305_AH3CFJDRXY/Sample_S34642_PCGF1KO_Martello_2iLIF_rep2/S34642_PCGF1KO_Martello_2iLIF_rep2_S59_L001_R1_001.fastq.gz	/hpcnfs/techunits/genomics/PublicData/Pasini/kferrari/FASTQ/210603_A00302_0305_AH3CFJDRXY/Sample_S34642_PCGF1KO_Martello_2iLIF_rep2/S34642_PCGF1KO_Martello_2iLIF_rep2_S59_L001_R2_001.fastq.gz
Pcgf1KO-00h-rep3	lane1	/hpcnfs/techunits/genomics/PublicData/Pasini/kferrari/FASTQ/200529_A00302_0159_AHLCMJDRXX/Sample_S28690_PCGF1KO_Martello_2iLIF_rep3/S28690_PCGF1KO_Martello_2iLIF_rep3_S68_L002_R1_001.fastq.gz	/hpcnfs/techunits/genomics/PublicData/Pasini/kferrari/FASTQ/200529_A00302_0159_AHLCMJDRXX/Sample_S28690_PCGF1KO_Martello_2iLIF_rep3/S28690_PCGF1KO_Martello_2iLIF_rep3_S68_L002_R2_001.fastq.gz
Pcgf1KO-00h-rep3	lane2_reseq	/hpcnfs/techunits/genomics/PublicData/Pasini/kferrari/FASTQ/210603_A00302_0305_AH3CFJDRXY/Sample_S34649_PCGF1KO_Martello_2iLIF_rep3/S34649_PCGF1KO_Martello_2iLIF_rep3_S66_L001_R1_001.fastq.gz	/hpcnfs/techunits/genomics/PublicData/Pasini/kferrari/FASTQ/210603_A00302_0305_AH3CFJDRXY/Sample_S34649_PCGF1KO_Martello_2iLIF_rep3/S34649_PCGF1KO_Martello_2iLIF_rep3_S66_L001_R2_001.fastq.gz
SI53S-22-rep1	lane1	/hpcnfs/techunits/genomics/PublicData/Pasini/stamburr/FASTQ/190802_A00302_0085_BHHCMVDMXX/Sample_S22896_SI53S_22_SMART_rep1/S22896_SI53S_22_SMART_rep1_S30_L001_R1_001.fastq.gz	/hpcnfs/techunits/genomics/PublicData/Pasini/stamburr/FASTQ/190802_A00302_0085_BHHCMVDMXX/Sample_S22896_SI53S_22_SMART_rep1/S22896_SI53S_22_SMART_rep1_S30_L001_R2_001.fastq.gz
SI53S-15-rep2	lane1	/hpcnfs/techunits/genomics/PublicData/Pasini/stamburr/FASTQ/190802_A00302_0085_BHHCMVDMXX/Sample_S22895_SI53S_15_SMART_rep1/S22895_SI53S_15_SMART_rep1_S29_L001_R1_001.fastq.gz	/hpcnfs/techunits/genomics/PublicData/Pasini/stamburr/FASTQ/190802_A00302_0085_BHHCMVDMXX/Sample_S22895_SI53S_15_SMART_rep1/S22895_SI53S_15_SMART_rep1_S29_L001_R2_001.fastq.gz
I53S-ETA-rep1	lane1	/hpcnfs/techunits/genomics/PublicData/Pasini/stamburr/FASTQ/190607_A00302_0076_BHH7TTDMXX/Sample_S22694_I53S_6ETA_smart_rep1/S22694_I53S_6ETA_smart_rep1_S91_L001_R1_001.fastq.gz	/hpcnfs/techunits/genomics/PublicData/Pasini/stamburr/FASTQ/190607_A00302_0076_BHH7TTDMXX/Sample_S22694_I53S_6ETA_smart_rep1/S22694_I53S_6ETA_smart_rep1_S91_L001_R2_001.fastq.gz
I53S-ETA-rep2	lane1	/hpcnfs/techunits/genomics/PublicData/Pasini/stamburr/FASTQ/190607_A00302_0076_BHH7TTDMXX/Sample_S22700_I53S_6ETA_smart_rep2/S22700_I53S_6ETA_smart_rep2_S97_L001_R1_001.fastq.gz	/hpcnfs/techunits/genomics/PublicData/Pasini/stamburr/FASTQ/190607_A00302_0076_BHH7TTDMXX/Sample_S22700_I53S_6ETA_smart_rep2/S22700_I53S_6ETA_smart_rep2_S97_L001_R2_001.fastq.gz